time,Latitude,Longitude,PM2.5
0:17:18:66,35.251571,126.863059,47
0:17:20:115,35.251422,126.863136,48
0:17:22:165,35.251262,126.863166,47
0:17:24:214,35.25111,126.863159,47
0:17:26:264,35.250949,126.863143,46
0:17:28:313,35.250782,126.863136,46
0:17:30:362,35.250606,126.863128,46
0:17:32:412,35.250419,126.863121,46
0:17:34:462,35.250083,126.863113,46
0:17:36:512,35.249832,126.863098,45
0:17:38:561,35.24961,126.863075,45
0:17:40:610,35.249382,126.863075,45
0:17:42:659,35.249156,126.863067,44
0:17:44:708,35.248943,126.863067,45
0:17:46:757,35.248729,126.863059,45
0:17:48:806,35.248508,126.863029,46
0:17:50:855,35.248275,126.863052,47
0:17:52:904,35.248065,126.863044,47
0:17:54:953,35.247856,126.863029,47
0:17:57:2,35.247673,126.863052,47
0:17:59:51,35.247509,126.863136,48
0:18:1:100,35.247333,126.86325,48
0:18:3:149,35.247173,126.863395,49
0:18:5:199,35.247013,126.863563,49
0:18:7:248,35.246837,126.86367,50
0:18:9:297,35.246658,126.863792,50
0:18:11:347,35.246482,126.863868,51
0:18:13:396,35.24615,126.863883,51
0:18:15:446,35.245891,126.863883,51
0:18:17:495,35.245647,126.863883,51
0:18:19:544,35.245407,126.863868,51
0:18:21:593,35.245166,126.863845,52
0:18:23:642,35.244922,126.863838,52
0:18:25:691,35.244743,126.86383,52
0:18:27:740,35.244598,126.86383,52
0:18:29:789,35.244422,126.863807,51
0:18:31:838,35.244216,126.8638,53
0:18:33:887,35.243976,126.8638,52
0:18:35:936,35.243736,126.863792,52
0:18:37:985,35.243499,126.863777,53
0:18:40:34,35.243263,126.863769,52
0:18:42:83,35.24303,126.863761,52
0:18:44:133,35.242797,126.863746,53
0:18:46:182,35.242584,126.863746,52
0:18:48:231,35.242343,126.863723,52
0:18:50:281,35.242073,126.863716,52
0:18:52:331,35.241817,126.8637,52
0:18:54:381,35.241447,126.863685,52
0:18:56:430,35.241207,126.863677,53
0:18:58:479,35.240997,126.86367,53
0:19:0:528,35.240829,126.863632,53
0:19:2:577,35.240661,126.863578,53
0:19:4:626,35.240493,126.863563,53
0:19:6:675,35.240287,126.863555,53
0:19:8:724,35.240108,126.863548,52
0:19:10:773,35.239963,126.86354,53
0:19:12:823,35.239845,126.863533,52
0:19:14:873,35.239765,126.863533,51
0:19:16:922,35.239677,126.86354,51
0:19:18:971,35.239566,126.863533,50
0:19:21:21,35.239456,126.863525,49
0:19:23:70,35.239337,126.86351,49
0:19:25:119,35.239231,126.863502,49
0:19:27:169,35.239139,126.863502,48
0:19:29:218,35.23907,126.86354,47
0:19:31:268,35.239025,126.863639,47
0:19:33:317,35.239059,126.863899,46
0:19:35:367,35.239124,126.864097,46
0:19:37:416,35.239208,126.864334,46
0:19:39:465,35.239284,126.864578,46
0:19:41:514,35.239398,126.864807,47
0:19:43:563,35.23949,126.865089,47
0:19:45:612,35.23957,126.865386,47
0:19:47:661,35.239669,126.865684,48
0:19:49:710,35.239753,126.865982,49
0:19:51:759,35.239845,126.866256,49
0:19:53:808,35.239925,126.866539,50
0:19:55:857,35.240024,126.866806,51
0:19:57:906,35.240112,126.86708,51
0:19:59:956,35.240173,126.867347,52
0:20:2:6,35.240245,126.86763,52
0:20:4:55,35.240333,126.867881,53
0:20:6:104,35.240417,126.868133,55
0:20:8:154,35.240497,126.868385,55
0:20:10:203,35.2406,126.868629,56
0:20:12:252,35.240741,126.868904,56
0:20:14:302,35.240932,126.869361,58
0:20:16:351,35.241058,126.869689,59
0:20:18:400,35.241176,126.870025,61
0:20:20:449,35.241298,126.870353,62
0:20:22:498,35.241416,126.870658,63
0:20:24:547,35.241527,126.870948,63
0:20:26:596,35.241622,126.871223,64
0:20:28:645,35.241714,126.871498,66
0:20:30:694,35.241798,126.871749,66
0:20:32:743,35.241878,126.871994,67
0:20:34:793,35.241958,126.872207,67
0:20:36:842,35.242023,126.872436,67
0:20:38:891,35.242069,126.872619,68
0:20:40:940,35.242107,126.872703,65
0:20:42:990,35.242115,126.872734,64
0:20:45:39,35.242137,126.872795,19
0:20:47:89,35.242198,126.872856,19
0:20:49:138,35.242271,126.872863,19
0:20:51:188,35.242336,126.872848,27
0:20:53:238,35.242477,126.872787,28
0:20:55:287,35.242618,126.872741,29
0:20:57:336,35.242778,126.872726,50
0:20:59:385,35.242938,126.872734,51
0:21:1:434,35.243095,126.872734,52
0:21:3:483,35.243263,126.872734,51
0:21:5:532,35.243457,126.872726,52
0:21:7:581,35.243648,126.872734,53
0:21:9:630,35.24385,126.872756,53
0:21:11:680,35.244045,126.872825,53
0:21:13:729,35.244228,126.872924,53
0:21:15:778,35.244407,126.873008,53
0:21:17:827,35.244583,126.873054,53
0:21:19:876,35.24477,126.873085,53
0:21:21:926,35.244964,126.873107,54
0:21:23:975,35.245147,126.873153,54
0:21:26:24,35.245319,126.873222,54
0:21:28:74,35.245483,126.873298,54
0:21:30:123,35.245693,126.873352,55
0:21:32:173,35.245822,126.873352,55
0:21:34:221,35.245925,126.873336,56
0:21:36:271,35.245998,126.873336,55
0:21:38:320,35.246063,126.873336,54
0:21:40:369,35.246097,126.873329,53
0:21:42:418,35.246097,126.873329,52
0:21:44:466,35.246093,126.873329,53
0:21:46:515,35.246078,126.873344,31
0:21:48:564,35.246063,126.873359,31
0:21:50:613,35.246051,126.873367,32
0:21:52:662,35.246051,126.873359,31
0:21:54:711,35.246051,126.873359,31
0:21:56:760,35.246051,126.873359,31
0:21:58:810,35.246047,126.873367,31
0:22:0:859,35.246047,126.873367,31
0:22:2:908,35.246047,126.873374,31
0:22:4:958,35.246047,126.873374,31
0:22:7:7,35.246047,126.873374,31
0:22:9:56,35.246047,126.873374,31
0:22:11:105,35.246047,126.873374,31
0:22:13:155,35.246047,126.873374,30
0:22:15:203,35.246047,126.873374,30
0:22:17:252,35.246047,126.873374,30
0:22:19:301,35.246047,126.873374,30
0:22:21:350,35.246047,126.873374,30
0:22:23:399,35.246047,126.873374,29
0:22:25:448,35.246047,126.873374,29
0:22:27:497,35.246047,126.873374,29
0:22:29:547,35.246047,126.873374,29
